pali	grammar_y	meaning_y	from_y	exists
attādāna	neuter	taking upon oneself; a legal process (of the saṅgha) initiated by oneself	atta	right_only
attānam	accusative	is used with future passive participle as if nominative neuter	atta	right_only
attukkaṃsana	neuter ~ā, feminine	self-praise	atta	right_only
attuddesika	adjective	intended for oneself	atta	right_only
attūpanāyika	adjective	concerning oneself, applied to oneself, referring to oneself	atta	right_only
atthakaraṇa	neuter	(the place for) dealing with lawsuits; seat of judgment, courtroom	attha	right_only
atthakavi	neuter	a didactic poet	attha	right_only
atthakāmī	adjective	wishing one well	attha	right_only
atthakāmi	adjective	wishing one well	attha	right_only
atthakkhāyi	adjective	declaring the goal or what is beneficial	attha	right_only
atthaṭakaṭhina	adjective	who has participated in the kaṭhina robe-making (and is therefore eligible for the five concessions)	atthaṭa	right_only
atthadassi	adjective	seeing the goal or what is beneficial	attha	right_only
atthanusiṭṭhi	feminine	administration of practical affairs or policy	attha	right_only
atthantara	adjective	taking the goal or meaning to heart; intent on the goal or meaning	attha	right_only
atthapucchana	neuter	questioning about the aim	attha	right_only
atthapurekkhāra	adjective	aiming at the meaning, or at the benefit	attha	right_only
atthabaddha	adjective	bound to (one) for the meaning	attha	right_only
atthavat	adjective	profitable; significant	attha	right_only
atthavat	adjective	possessing the goal; or possessing worldly knowledge	attha	right_only
atthava	adjective	profitable; significant	attha	right_only
atthava	adjective	possessing the goal; or possessing worldly knowledge	attha	right_only
atthavasī	adjective	pursuing an aim	attha	right_only
atthavasi	adjective	pursuing an aim	attha	right_only
atthavādi	adjective	speaking about the goal or what is beneficial	attha	right_only
atthikavat	adjective	wanting something; having a purpose	atthika	right_only
atthikava	adjective	wanting something; having a purpose	atthika	right_only
atthikavāda	masculine & adjective	(masculine) the doctrine that (merit, another world, etc.) exists	atthika	right_only
atthikavāda	masculine & adjective	(adjective) following, professing that doctrine	atthika	right_only
atthūpaparikkhi	adjective	investigating the meaning; inquiring into the significance	attha	right_only
atthopasaṃhita	adjective	connected with the goal, or with what is beneficial	attha	right_only
atthūpeta	adjective	expert in the meaning	attha	right_only
atthūpeta	adjective	meaningful connected with the goal or the meaning	attha	right_only
athabbaṇa	masculine or neuter	(what belongs to) the Atharva-veda; a spell or a charm from the Atharva-veda	['āthabbaṇa', 'āthabbana', 'athabbana']	right_only
athabbana	masculine or neuter	(what belongs to) the Atharva-veda; a spell or a charm from the Atharva-veda	['āthabbaṇa', 'āthabbana', 'athabbana']	right_only
atha vā pi	phrase	or also; and also	atha	right_only
adasaka	adjective	without a fringe		right_only
addavalepana	adjective	newly plastered		right_only
addiyati	present 3 singular	is afflicted, distressed		right_only
addhan	masculine	a path, road; a journey		right_only
addhan	masculine	time		right_only
addhanīya	adjective	fit for traveling		right_only
addhanīya	adjective	lasting a long period; enduring		right_only
addhabhaveti	causative present 3 singular	makes govern, lets control		right_only
addhariya	masculine	a sacrificing priest; name of a class of brahmans		right_only
addhāṃ	ind. (?)	(?)	addhā	right_only
addhābhavanta	present participle adjective	master of; governing; controlling		right_only
addhāyu	neuter	duration of life	addha(n)	right_only
addhāhina	adjective	being under-age, too young	addhāna	right_only
adharakaya	masculine	the lower part of the body		right_only
adhikaraṇakārika	masculine	one who causes disputes or lawsuits	adhikaraṇa	right_only
addhikaraṇavūpasamana	neuter id	the settling of a case or dispute	addhikaraṇa	right_only
adhikasatasahassa	neuter	more than 100, 000	adhika	right_only
adhikuṭṭana	feminine	a chopping block		right_only
adhikusala	feminine	of high merit		right_only
adhigā	phrase	attains, finds; understands		right_only
adhiggahita	past participle adjective	excelled; overpowered, possessed		right_only
adhicittaṃ	indeclinable	as regards though, as to meditation		right_only
adhicitte	indeclinable	in regards to thought, to meditation		right_only
adhicetas	adjective	attentive		right_only
adhiceta	adjective	attentive		right_only
adhiccāpattika	adjective	rarely, or occasionally offending	adhicca	right_only
adhiccasamuppannika	adjective	one who believes in fortuitous or causeless origination	adhicca	right_only
adhijegucchaṃ	indeclinable	as regards what is detestable, as regards scrupulousness		right_only
adhijegucche	indeclinable	as regards what is detestable, as regards scrupulousness		right_only
adhiṭṭheti	present 3 singular	stands upon, depends upon; mounts; stands over, supervises; controls; designates, takes (formal) possession of (robe, bowl etc.); resolves on, fixes the mind on, undertakes; resolves, determines, produces (by supernatural power)	adhitiṭṭhati	right_only
adhitiṭṭhati	present 3 singular	stands upon, depends upon; mounts; stands over, supervises; controls; designates, takes (formal) possession of (robe, bowl etc.); resolves on, fixes the mind on, undertakes; resolves, determines, produces (by supernatural power)	['adhitiṭṭhati', 'adhiṭṭhāti']	right_only
adhideva	masculine	a superior or supreme god; one above the gods		right_only
adhipaññāṃ	indeclinable	as regards wisdom		right_only
adhipaññātti	indeclinable	with regard to exposition		right_only
adhipaññāya	indeclinable	in regard to wisdom		right_only
adhipatati	present 3 singular	falls on; rushes; against; attacks		right_only
adhipatthita	adjective	desire, wished; longed for		right_only
adhipātī	masculine	making fall; injuring; (or splitting)	adhipāta	right_only
adhipāti	masculine	making fall; injuring; (or splitting)	adhipāta	right_only
adhipātimokkha	neuter	the extension to the rule of discipline; the further code of discipline		right_only
adhipātetvā	absolutive	having made fall; having laid low		right_only
adhibrahman	masculine	a superior Brahmā; one higher than Brahmā		right_only
adhibrahma	masculine	a superior Brahmā; one higher than Brahmā		right_only
adhibhoti	present 3 singular	overpowers, over comes; surpasses	adhibhavati	right_only
adhibhū	masculine	one who overpowers; lord, master; conqueror		right_only
adhimattakasimāna	neuter	excessive leanness; serious emaciation	adhimatta	right_only
adhimana	adjective	‘having the mind directed towards’, intent on, desiring; pleased; not anxious		right_only
adhimanassa	adjective	‘having the mind directed towards’, intent on, desiring; pleased; not anxious		right_only
adhimuccitar	masculine	one who believes; who is convinced		right_only
adhimuccita	masculine	one who believes; who is convinced		right_only
adhimuttacitta	past participle adjective	whose mind is so inclined, or has such a conviction	adhimutta	right_only
adhimoceti	causative present 3 singular	makes incline to; sets on; makes enter (another’s body)	adhimuccati	right_only
adhivāhī	adjective	bringing		right_only
adhivāhi	adjective	bringing		right_only
adhivimutti	feminine & ind	higher, superior release; as to release		right_only
adhivivuttipada	neuter	expression, saying; opinion, theory		right_only
adhisīlaṃ	indeclinable	as regards to moral behavior		right_only
adhisīle	indeclinable	in regard to morality		right_only
adhisseti	present 3 singular	lies down on	adhiseti	right_only
adhisseti	present 3 singular	has recourse to, resorts to	adhiseti	right_only
adhiyyati	present 3 singular	studies; learns by heart; reads	adhīyati	right_only
adhunbhisita	adjective	recently inaugurated	adhunā	right_only
adhunūpapanna	adjective	recently reborn	adhunā	right_only
adhakkha	adjective & neuter	(what) is below the collar-bone	adho	right_only
adhakkhaka	adjective & neuter	(what) is below the collar-bone	adho	right_only
adhakkhakaṃ	adjective & neuter	below the collar-bone	adhakkhaka	right_only
adhagama	adjective	going downwards	adho	right_only
adhagāmī	adjective	going downwards; going downstream	adho	right_only
adhagāmi	adjective	going downwards; going downstream	adho	right_only
adhojānumaṇḍalamī	neuter	what is below the knee-cap	adho	right_only
adhojānumaṇḍalami	neuter	what is below the knee-cap	adho	right_only
adhonābhiṃ	ind & neuter	below the navel; what is below the navel; see adho)		right_only
adhobhāvaṅgamanīya	adjective	tending to go downwards (to lower existences)	adho	right_only
adhomukhaṃ	adverb	downwards	adhomukha	right_only
adhovātaṃ	indeclinable	downwind	adho	right_only
adhovāte	indeclinable	downwind	adho	right_only
adhosira	adjective	with the head downward; headfirst	adho	right_only
anakkosakaparibhāsika	masculine	(one) who does not abuse or insult	akkosaka	right_only
anakkhāna	neuter	not telling; no need for telling	akkhāna	right_only
anagārā	adjective & masculine	(adjective and masculine) without a house, homeless; (one) who has left a household life; a homeless ascetic	agāra	right_only
anagārā	adjective & masculine	(neuter) the homeless state; the ascetic life	agāra	right_only
anagga	adjective	without a limit; without a point	agga	right_only
anaggavat	adjective	inferior	aggava(t)	right_only
anaggava	adjective	inferior	aggava(t)	right_only
anaggahīta	adjective	not kept back	aggahīta	right_only
anaggahītacitta	adjective	with a generous heart	anaggahīta	right_only
anaccekacīvara	neuter	what is not an accekacīvara	acceka	right_only
anacchariyaṃ	adverb	naturally; not surprisingly	anacchiraya	right_only
anajjhāpatti	feminine	Non-transgression, the not committing of (an offense)		right_only
anajjhāyaka	masculine	one who does not study (the Vedas)	ajjhāyaka	right_only
anajjhārūha	adjective	not dominating	ajjhāruha	right_only
anajjhosāna	neuter	lack of grasping	ajjhosāna	right_only
anaññathā	indeclinable	not otherwise, accurately, as it really is	aññathā	right_only
anaññathābhāvī	adjective	not subject to change	aññathābhāvi(n)	right_only
anaññathābhāvi	adjective	not subject to change	aññathābhāvi(n)	right_only
anaññaneyya	adjective	not to be led by someone else; not needing guidance from anyone else	anañña	right_only
anaññaneyya	adjective	whither one cannot be guided by others	anañña	right_only
anatikkamana	neuter	not passing; not going beyond; not transgressing		right_only
anatikkamanīya	future passive participle negative adjective	not to be passed; not to be transgressed (against)	atikkamati	right_only
anaticariyā	feminine	non-transgression; faithfulness		right_only
anaticārī	adjective	faithful	aticāri(n)	right_only
anaticāri	adjective	faithful	aticāri(n)	right_only
anatimāna	masculine	freedom from conceit	atimāna	right_only
anatimāni	adjective	not conceited; free from pride (see anatimāni(n))		right_only
anattan	masculine	not the self, not a soul	atta	right_only
anattadhīna	negative adjective	dependent; not independent	attadhīna	right_only
anattaneyya	adjective	not belonging to oneself	attaniya	right_only
anattanupassī	adjective	looking upon as not the self, not considering there is a self	anatta(n)	right_only
anattanupassi	adjective	looking upon as not the self, not considering there is a self	anatta(n)	right_only
anattukkaṃsana	negative neuter ~ā, feminine	non-self-praise	attukkaṁsana	right_only
anatthaka	adjective	of no meaning or use; hurtful		right_only
anatthajanana	adjective	producing harm	anattha	right_only
anatthadassī	negative adjective	not seeing the goal or what is beneficial	atthadassi(n)	right_only
anatthadassi	negative adjective	not seeing the goal or what is beneficial	atthadassi(n)	right_only
anatthavādi	negative adjective	not speaking about the goal or what is beneficial	atthavādi(n)	right_only
anadhika	adjective	not exceeding; not more; not in excess	adhika	right_only
anadhiṭṭhāna	neuter	not a support; not determining; not fixing one’s mind on. lack of resolve; not taking formal possession		right_only
anadhibhū	masculine	not a conqueror; one who does not overcome	adhibhū	right_only
anadhibhūta	negative adjective	not overpowered	['adhibhavati', 'adhibhūta']	right_only
anadhimucchita	adjective	not infatuated; not clinging to	adhimucchita	right_only
ananuññāta	past participle adjective	not allowed, not given permission	['anujānāti', 'anuññāta']	right_only
ananugatantara	adjective	with independent mind	anugacchati	right_only
ananucchaviya	adjective	unsuitable; unbecoming	anucchaviya	right_only
